Dominance Rank,Fighter Name,Dominance Score,Win %,KO %,Title Fight Wins,Title Fight Win %,Career Length
1,Naoya Inoue,86.87,100.0,81.8,26,100.0,14
2,Julio Cesar Chavez,83.56,93.04347826086956,74.8,31,88.57142857142857,25
3,Floyd Mayweather,82.8,100.0,54.0,26,100.0,21
4,Terence Crawford,82.2,100.0,73.8,20,100.0,17
5,Joe Louis,81.98,95.65217391304348,75.4,27,96.42857142857143,17
6,Oleksandr Usyk,74.41,100.0,64.0,14,100.0,13
7,Rocky Marciano,73.76,100.0,87.8,7,100.0,8
8,Jermall Charlo,73.34,100.0,67.6,8,100.0,18
9,Gennadiy Golovkin,73.3,93.33333333333333,82.2,17,89.47368421052632,16
10,Alexis Arguello,73.2,90.58823529411765,72.9,19,86.36363636363636,27
11,Saul Alvarez,72.9,92.64705882352942,57.4,24,88.88888888888889,21
12,Gervonta Davis,72.88,96.7741935483871,90.3,7,100.0,13
13,David Benavidez,72.81,100.0,81.3,5,100.0,13
14,Artur Beterbiev,72.21,95.45454545454545,90.9,10,90.9090909090909,13
15,Larry Holmes,71.69,92.0,58.7,20,80.0,29
16,Roy Jones Jr,71.61,86.8421052631579,61.8,25,89.28571428571429,29
17,Muhammad Ali,71.38,91.80327868852459,60.7,22,88.0,21
18,Andre Ward,69.71,100.0,50.0,12,100.0,13
19,Thomas Hearns,69.62,91.04477611940298,71.6,14,77.77777777777779,29
20,Junto Nakatani,68.61,96.96969696969697,72.7,10,90.9090909090909,11
21,Lennox Lewis,68.59,93.18181818181817,72.7,15,88.23529411764706,14
22,Marvin Hagler,68.5,92.53731343283582,77.6,13,92.85714285714286,14
23,George Foreman,67.09,93.82716049382715,84.0,5,62.5,28
24,Emanuel Navarrete,66.86,90.9090909090909,75.0,14,93.33333333333333,14
25,Oscar De La Hoya,66.0,86.66666666666667,66.7,24,82.75862068965517,16
26,Jose Napoles,65.06,92.04545454545455,61.4,15,83.33333333333334,17
27,Shakur Stevenson,64.78,100.0,44.0,9,100.0,9
28,Manny Pacquiao,64.56,84.93150684931507,53.4,21,84.0,30
29,Eder Jofre,64.37,92.3076923076923,64.1,11,84.61538461538461,19
30,Roberto Duran,64.19,86.5546218487395,58.8,17,70.83333333333334,33
31,Errol Spence Jr,63.62,93.33333333333333,73.3,7,87.5,14
32,Devin Haney,62.47,97.05882352941177,44.1,9,100.0,11
33,Azumah Nelson,61.36,82.97872340425532,59.6,18,81.81818181818183,29
34,Bernard Hopkins,61.18,82.08955223880598,47.8,24,82.75862068965517,28
35,Bob Foster,61.1,86.15384615384616,70.8,14,87.5,17
36,Sugar Ray Leonard,61.09,90.0,62.5,10,83.33333333333334,20
37,Carlos Monzon,60.49,87.0,59.0,15,100.0,14
38,Vicente Saldivar,60.39,92.5,65.0,9,81.81818181818183,12
39,Willie Pep,60.0,95.0207468879668,27.0,11,78.57142857142857,26
40,Gene Tunney,59.27,94.11764705882352,56.5,3,100.0,13
41,Henry Armstrong,58.81,82.5136612021858,54.6,24,88.88888888888889,14
42,Harry Wills,58.56,80.18018018018019,50.5,24,92.3076923076923,21
43,Joe Frazier,58.39,86.48648648648648,73.0,10,83.33333333333334,16
44,Tyson Fury,58.14,92.3076923076923,64.1,5,71.42857142857143,18
45,Anthony Joshua,57.88,88.23529411764706,79.4,9,69.23076923076923,13
46,Archie Moore,57.79,84.54545454545455,60.0,10,83.33333333333334,28
47,Sugar Ray Robinson,57.45,86.56716417910447,54.2,14,66.66666666666666,25
48,Jermell Charlo,57.12,92.10526315789474,50.0,7,77.77777777777779,19
49,Pernell Whitaker,56.78,86.95652173913044,37.0,19,86.36363636363636,17
50,Sandy Saddler,56.77,88.95705521472392,63.8,8,88.88888888888889,12
51,Sonny Liston,54.87,92.5925925925926,72.2,2,50.0,17
52,Nonito Donaire,54.74,81.13207547169812,52.8,18,72.0,25
53,Vasyl Lomachenko,54.6,85.71428571428571,57.1,14,82.35294117647058,12
54,Carlos Ortiz,53.9,87.14285714285714,42.9,14,77.77777777777779,17
55,Floyd Patterson,52.24,85.9375,62.5,8,61.53846153846154,20
56,Joe Gans,50.74,79.69543147208121,50.8,17,80.95238095238095,18
57,Kazuto Ioka,50.62,84.21052631578947,44.7,14,73.68421052631578,17
58,Evander Holyfield,49.23,77.19298245614034,50.9,16,69.56521739130434,27
59,Benny Leonard,46.9,84.47488584474885,32.0,7,87.5,21
60,Jack Johnson,46.2,72.3404255319149,36.2,15,93.75,34
61,Ike Williams,44.83,81.52866242038218,38.9,9,90.0,15
62,Sam Langford,44.12,66.87898089171973,40.1,30,73.17073170731707,24
63,Gene Fullmer,43.7,85.9375,37.5,7,70.0,12
64,Ezzard Charles,41.06,78.51239669421489,43.0,9,69.23076923076923,19
65,Max Schmeling,40.59,80.0,57.1,2,50.0,24
66,Harry Greb,39.31,87.29096989966555,16.4,5,71.42857142857143,13
67,Mickey Walker,38.76,79.8780487804878,36.6,8,66.66666666666666,16
68,Tony Canzoneri,37.08,80.57142857142857,25.1,12,57.14285714285714,14
69,Emile Griffith,36.18,75.89285714285714,20.5,16,61.53846153846154,19
70,Kid Gavilan,30.55,75.52447552447552,19.6,8,72.72727272727273,15
71,Dick Tiger,30.25,73.17073170731707,32.9,6,66.66666666666666,18
72,Jimmy McLarnin,28.05,79.71014492753623,30.4,2,40.0,13
73,Jack Britton,22.9,68.69565217391305,8.7,7,63.63636363636363,26
74,Carmen Basilio,22.41,70.88607594936708,34.2,5,45.45454545454545,13
75,Jimmy Bivins,16.95,76.06837606837607,27.4,0,0.0,15
