Fighter Name,Weight Class(es),Wins,Losses,Draws,No Contests,Total Fights,Record,KO Wins,KO %,KO Losses,Debut Year,Years Active,Championship Titles,BoxRec ID,Stoppage Win %,Decision Win %,Title Fight Wins,Title Fight Losses
Archie Moore,Light Heavyweight to Heavyweight,186,23,10,1,220,186-23-10 (132 KOs),132,60,7,1935,1935-1963,World Light Heavyweight,8995,71,29,10,2
Sugar Ray Robinson,Welterweight to Middleweight,174,19,6,2,201,174-19-6 (109 KOs),109,54.2,1,1940,1940-1965,World Welterweight/Middleweight,9625,62.6,37.4,14,7
Muhammad Ali,Heavyweight,56,5,0,0,61,56-5 (37 KOs),37,60.7,1,1960,1960-1981,WBA/WBC Heavyweight,180,66.1,33.9,22,3
Joe Louis,Heavyweight,66,3,0,0,69,66-3 (52 KOs),52,75.4,2,1934,1934-1951,World Heavyweight,9027,78.8,21.2,27,1
Ezzard Charles,Middleweight to Heavyweight,95,25,1,0,121,95-25-1 (52 KOs),52,43,7,1940,1940-1959,NBA Heavyweight,9012,54.7,45.3,9,4
Harry Greb,Middleweight to Light Heavyweight,261,18,19,1,299,261-18-19 (49 KOs),49,16.4,2,1913,1913-1926,World Middleweight,9019,18.8,81.2,5,2
Carlos Monzon,Middleweight,87,3,9,1,100,87-3-9 (59 KOs),59,59,0,1963,1963-1977,WBA/WBC Middleweight,9036,67.8,32.2,15,0
Tony Canzoneri,Featherweight to Light Welterweight,141,24,10,0,175,141-24-10 (44 KOs),44,25.1,1,1925,1925-1939,World Feather/Light/Light Welter,9003,31.2,68.8,12,9
Dick Tiger,Middleweight to Light Heavyweight,60,19,3,0,82,60-19-3 (27 KOs),27,32.9,0,1952,1952-1970,WBA/WBC Middle/Light Heavy,9010,45,55,6,3
Carlos Ortiz,Light Welterweight to Lightweight,61,7,1,1,70,61-7-1 (30 KOs),30,42.9,1,1955,1955-1972,World Light Welter/Lightweight,8387,49.2,50.8,14,4
Sam Langford,Lightweight to Heavyweight,210,43,53,8,314,210-43-53 (126 KOs),126,40.1,0,1902,1902-1926,Colored Heavyweight,11023,60,40,30,11
Henry Armstrong,Featherweight to Welterweight,151,22,10,0,183,151-22-10 (100 KOs),100,54.6,2,1931,1931-1945,World Feather/Light/Welter,9018,66.2,33.8,24,3
Jimmy McLarnin,Flyweight to Welterweight,55,11,3,0,69,55-11-3 (21 KOs),21,30.4,0,1923,1923-1936,World Welterweight,9024,38.2,61.8,2,3
Jimmy Bivins,Middleweight to Heavyweight,89,27,1,0,117,89-27-1 (32 KOs),32,27.4,5,1940,1940-1955,N/A,9974,36,64,0,0
Emile Griffith,Welterweight to Middleweight,85,24,2,1,112,85-24-2 (23 KOs),23,20.5,2,1958,1958-1977,World Welter/Middleweight,9017,27.1,72.9,16,10
Rocky Marciano,Heavyweight,49,0,0,0,49,49-0 (43 KOs),43,87.8,0,1947,1947-1955,World Heavyweight,9032,87.8,12.2,7,0
Benny Leonard,Lightweight to Welterweight,185,22,9,3,219,185-22-9 (70 KOs),70,32,4,1911,1911-1932,World Lightweight,9001,37.8,62.2,7,1
Jose Napoles,Welterweight to Middleweight,81,7,0,0,88,81-7 (54 KOs),54,61.4,4,1958,1958-1975,WBA/WBC Welterweight,9025,66.7,33.3,15,3
Floyd Patterson,Heavyweight,55,8,1,0,64,55-8-1 (40 KOs),40,62.5,5,1952,1952-1972,World Heavyweight,9038,72.7,27.3,8,5
Mickey Walker,Welterweight to Heavyweight,131,25,6,2,164,131-25-6 (60 KOs),60,36.6,4,1919,1919-1935,World Welter/Middleweight,9035,45.8,54.2,8,4
Jack Britton,Welterweight,237,60,43,5,345,237-60-43 (30 KOs),30,8.7,1,1904,1904-1930,World Welterweight,11897,12.7,87.3,7,4
Marvin Hagler,Middleweight,62,3,2,0,67,62-3-2 (52 KOs),52,77.6,0,1973,1973-1987,WBA/WBC/IBF Middleweight,8684,83.9,16.1,13,1
Harry Wills,Heavyweight,89,10,7,5,111,89-10-7 (56 KOs),56,50.5,4,1911,1911-1932,Colored Heavyweight,17615,62.9,37.1,24,2
Willie Pep,Featherweight,229,11,1,0,241,229-11-1 (65 KOs),65,27,6,1940,1940-1966,World Featherweight,43,28.4,71.6,11,3
Kid Gavilan,Welterweight,108,30,5,0,143,108-30-5 (28 KOs),28,19.6,0,1943,1943-1958,World Welterweight,9014,25.9,74.1,8,3
Gene Fullmer,Middleweight,55,6,3,0,64,55-6-3 (24 KOs),24,37.5,2,1951,1951-1963,NBA/WBA Middleweight,9707,43.6,56.4,7,3
Max Schmeling,Heavyweight,56,10,4,0,70,56-10-4 (40 KOs),40,57.1,4,1924,1924-1948,World Heavyweight,9041,71.4,28.6,2,2
Ike Williams,Lightweight,128,24,5,0,157,128-24-5 (61 KOs),61,38.9,6,1940,1940-1955,World Lightweight,9020,47.7,52.3,9,1
Larry Holmes,Heavyweight,69,6,0,0,75,69-6 (44 KOs),44,58.7,1,1973,1973-2002,WBC/IBF Heavyweight,150,63.8,36.2,20,5
Gene Tunney,Light Heavyweight/Heavyweight,80,1,3,1,85,80-1-3 (48 KOs),48,56.5,0,1915,1915-1928,World Heavyweight,9046,60,40,3,0
Carmen Basilio,Welterweight/Middleweight,56,16,7,0,79,56-16-7 (27 KOs),27,34.2,2,1948,1948-1961,World Welter/Middleweight,8997,48.2,51.8,5,6
Evander Holyfield,Cruiserweight/Heavyweight,44,10,2,1,57,44-10-2 (29 KOs),29,50.9,2,1984,1984-2011,WBA/WBC/IBF Cruiser/Heavy,499,65.9,34.1,16,7
Joe Gans,Lightweight,157,12,22,6,197,157-12-22 (100 KOs),100,50.8,5,1891,1891-1909,World Lightweight,9026,63.7,36.3,17,4
Julio Cesar Chavez,Super Featherweight to Welterweight,107,6,2,0,115,107-6-2 (86 KOs),86,74.8,3,1980,1980-2005,WBC/WBA/IBF Super Feather to Light Welter,8119,80.4,19.6,31,4
Lennox Lewis,Heavyweight,41,2,1,0,44,41-2-1 (32 KOs),32,72.7,2,1989,1989-2003,WBC/WBA/IBF Heavyweight,1853,78,22,15,2
