Fighter Name,Dominance Rank,Finisher Rank,Championship Rank,Average Rank,Best Rank,Worst Rank,Rank Range
Archie Moore,46,43,45,44.67,43,46,3
Sugar Ray Robinson,47,48,42,45.67,42,48,6
Muhammad Ali,17,20,9,15.33,9,20,11
Joe Louis,5,4,4,4.33,4,5,1
Ezzard Charles,64,65,64,64.33,64,65,1
Harry Greb,66,67,68,67.0,66,68,2
Carlos Monzon,37,38,35,36.67,35,38,3
Tony Canzoneri,68,68,66,67.33,66,68,2
Dick Tiger,71,70,71,70.67,70,71,1
Carlos Ortiz,54,55,48,52.33,48,55,7
Sam Langford,62,64,54,60.0,54,64,10
Henry Armstrong,41,46,31,39.33,31,46,15
Jimmy McLarnin,72,72,72,72.0,72,72,0
Jimmy Bivins,75,75,75,75.0,75,75,0
Emile Griffith,69,69,65,67.67,65,69,4
Rocky Marciano,7,6,16,9.67,6,16,10
Benny Leonard,59,60,61,60.0,59,61,2
Jose Napoles,26,28,28,27.33,26,28,2
Floyd Patterson,55,53,58,55.33,53,58,5
Mickey Walker,67,66,67,66.67,66,67,1
Jack Britton,73,74,73,73.33,73,74,1
Marvin Hagler,22,18,23,21.0,18,23,5
Harry Wills,42,47,29,39.33,29,47,18
Willie Pep,39,50,38,42.33,38,50,12
Kid Gavilan,70,71,70,70.33,70,71,1
Gene Fullmer,63,63,63,63.0,63,63,0
Max Schmeling,65,62,69,65.33,62,69,7
Ike Williams,61,61,62,61.33,61,62,1
Larry Holmes,15,19,10,14.67,10,19,9
Gene Tunney,40,40,50,43.33,40,50,10
Carmen Basilio,74,73,74,73.67,73,74,1
Evander Holyfield,58,57,57,57.33,57,58,1
Joe Gans,56,56,55,55.67,55,56,1
Julio Cesar Chavez,2,2,2,2.0,2,2,0
Lennox Lewis,21,22,21,21.33,21,22,1
Oscar De La Hoya,25,26,14,21.67,14,26,12
Jack Johnson,60,59,59,59.33,59,60,1
Bob Foster,35,31,36,34.0,31,36,5
Roberto Duran,30,29,26,28.33,26,30,4
Sugar Ray Leonard,36,33,41,36.67,33,41,8
Joe Frazier,43,37,46,42.0,37,46,9
Thomas Hearns,19,15,15,16.33,15,19,4
Sonny Liston,51,45,60,52.0,45,60,15
Azumah Nelson,33,34,30,32.33,30,34,4
Vicente Saldivar,38,35,43,38.67,35,43,8
Eder Jofre,29,27,32,29.33,27,32,5
Sandy Saddler,50,44,52,48.67,44,52,8
Alexis Arguello,10,11,8,9.67,8,11,3
George Foreman,23,14,34,23.67,14,34,20
Pernell Whitaker,49,54,39,47.33,39,54,15
Floyd Mayweather,3,5,3,3.67,3,5,2
Manny Pacquiao,28,30,19,25.67,19,30,11
Andre Ward,18,24,18,20.0,18,24,6
Roy Jones Jr,16,17,7,13.33,7,17,10
Bernard Hopkins,34,42,24,33.33,24,42,18
Terence Crawford,4,3,5,4.0,3,5,2
Saul Alvarez,11,16,6,11.0,6,16,10
Naoya Inoue,1,1,1,1.0,1,1,0
Artur Beterbiev,14,8,17,13.0,8,17,9
Oleksandr Usyk,6,13,11,10.0,6,13,7
Tyson Fury,44,41,53,46.0,41,53,12
Gennadiy Golovkin,9,10,12,10.33,9,12,3
Vasyl Lomachenko,53,51,47,50.33,47,53,6
Nonito Donaire,52,52,44,49.33,44,52,8
Gervonta Davis,12,7,20,13.0,7,20,13
Errol Spence Jr,31,25,40,32.0,25,40,15
Anthony Joshua,45,36,49,43.33,36,49,13
Emanuel Navarrete,24,23,25,24.0,23,25,2
Kazuto Ioka,57,58,56,57.0,56,58,2
Jermall Charlo,8,12,13,11.0,8,13,5
Jermell Charlo,48,49,51,49.33,48,51,3
David Benavidez,13,9,22,14.67,9,22,13
Devin Haney,32,39,37,36.0,32,39,7
Shakur Stevenson,27,32,33,30.67,27,33,6
Junto Nakatani,20,21,27,22.67,20,27,7
